image_uid,image_path,style,style_abbrev,metric,dc,dw
data/compromise_building/apartment/town/1014|1014,data/compromise_building/apartment/town/1014.JPG,Chinese_Art_Deco,Ch-AD,Col_HSV-M,0.4591645885286783,0.0695137157107231
data/compromise_building/apartment/town/1014|1014,data/compromise_building/apartment/town/1014.JPG,Chinese_Art_Deco,Ch-AD,Per_LPIPS-O,0.2343100581878637,0.4352660016625104
data/compromise_building/apartment/town/1014|1014,data/compromise_building/apartment/town/1014.JPG,Chinese_Art_Deco,Ch-AD,Sem_CLIP-S,0.4445137157107232,0.5554862842892768
data/compromise_building/apartment/town/1014|1014,data/compromise_building/apartment/town/1014.JPG,Chinese_Art_Deco,Ch-AD,Str_EH-D,0.2137364921030756,0.6270781379883624
data/compromise_building/apartment/town/1014|1014,data/compromise_building/apartment/town/1014.JPG,Chinese_Art_Deco,Ch-AD,Str_SSIM-D,0.7378428927680798,0.9277847049044056
data/compromise_building/apartment/town/1014|1014,data/compromise_building/apartment/town/1014.JPG,Chinese_Art_Deco,Ch-AD,Tex_GLCM-C,0.7249584372402328,0.2750415627597673
data/compromise_building/apartment/town/1014|1014,data/compromise_building/apartment/town/1014.JPG,Chinese_Art_Deco,Ch-AD,Tex_Gram-D,0.8394638403990025,0.1860972568578554
data/compromise_building/apartment/town/1015|1015,data/compromise_building/apartment/town/1015.JPG,Chinese_Art_Deco,Ch-AD,Col_HSV-B,0.2453241895261845,0.4286159600997506
data/compromise_building/apartment/town/1015|1015,data/compromise_building/apartment/town/1015.JPG,Chinese_Art_Deco,Ch-AD,Col_HSV-M,0.7887572734829593,0.553927680798005
data/compromise_building/apartment/town/1015|1015,data/compromise_building/apartment/town/1015.JPG,Chinese_Art_Deco,Ch-AD,Per_LPIPS-O,0.6119077306733167,0.946072319201995
data/compromise_building/apartment/town/1015|1015,data/compromise_building/apartment/town/1015.JPG,Chinese_Art_Deco,Ch-AD,Sem_CLIP-S,0.1281172069825436,0.8718827930174564
data/compromise_building/apartment/town/1015|1015,data/compromise_building/apartment/town/1015.JPG,Chinese_Art_Deco,Ch-AD,Str_EH-D,0.2451163757273483,0.5015586034912718
